ID,PIDM,PAM,PAV,SUM,PAM2,PAV2,SUM2,PAA_OP,GPA,Eficiencia_Terminal,Nivel_colegiatura_prepa
358039,332020,594,602,1196,0,0,0,1,85.43,1,Prepa UDEM
358069,332050,697,613,1310,0,0,0,1,87.07,1,Alto
358069,332050,697,613,1310,0,0,0,1,87.07,1,Alto
358070,332051,700,633,1333,0,0,0,1,83.57,0,Alto
358080,332061,740,602,1342,0,0,0,1,92.28,1,Alto
358080,332061,740,602,1342,0,0,0,1,92.28,1,Alto
358103,332084,658,664,1322,0,0,0,1,77.48,1,Alto
358103,332084,658,664,1322,0,0,0,1,77.48,1,Alto
358143,332124,689,613,1302,699,511,1210,2,79,1,Alto
358143,332124,689,613,1302,699,511,1210,2,79,1,Alto
358180,332161,556,550,1106,0,0,0,1,94.17,1,Prepa UDEM
358184,332165,774,685,1459,0,0,0,1,93.3,1,Prepa UDEM
358185,332166,718,655,1373,0,0,0,1,92,1,Medio
358195,332176,762,634,1396,0,0,0,1,81.61,1,Alto
358239,332221,729,634,1363,610,560,1170,2,96,1,Medio
358652,332636,668,643,1311,0,0,0,1,83.15,1,Prepa UDEM
358652,332636,668,643,1311,0,0,0,1,83.15,1,Prepa UDEM
358652,332636,668,643,1311,0,0,0,1,83.15,1,Prepa UDEM
358778,332764,621,571,1192,0,0,0,1,87.59,1,Prepa UDEM
359081,333068,653,602,1255,0,0,0,1,90.91,1,Prepa UDEM
359081,333068,653,602,1255,0,0,0,1,90.91,1,Prepa UDEM
359081,333068,653,602,1255,0,0,0,1,90.91,1,Prepa UDEM
359215,333205,563,539,1102,0,0,0,1,77,1,Medio
359608,333601,647,550,1197,584,529,1113,2,80.87,0,Prepa UDEM
359778,333773,718,718,1436,0,0,0,1,90.23,1,Alto
359778,333773,718,718,1436,0,0,0,1,90.23,1,Alto
359946,333944,664,634,1298,0,0,0,1,94.54,1,Prepa UDEM
360254,334254,710,602,1312,0,0,0,1,85.22,1,Prepa UDEM
360420,334429,638,561,1199,0,0,0,1,78.31,1,Bajo
360492,334502,729,613,1342,0,0,0,1,95.02,1,Prepa UDEM
